block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp
18	732	177	196	87	50	47	13	1358	EAS	25321
19	422	83	87	56	23	20	6	717	EAS	16731
20	262	64	51	27	20	17	3	463	EAS	10314
21	141	26	29	17	14	12	1	255	EAS	6921
22	147	34	26	21	13	8	3	277	EAS	8175
24	134	40	35	13	9	13	1	269	EAS	6033
25	541	129	104	46	34	41	13	934	EAS	22178
26	601	122	146	77	28	49	5	1082	EAS	23505
27	477	108	86	39	34	43	7	843	EAS	19620
28	1148	230	217	91	66	70	20	1997	EAS	47499
29	234	51	54	32	19	19	2	451	EAS	10443
30	629	158	141	67	30	48	10	1132	EAS	27474
31	1315	312	270	134	97	85	16	2326	EAS	57595
32	700	161	138	73	55	41	13	1216	EAS	26001
33	1297	276	253	129	61	77	21	2192	EAS	58758
34	707	133	119	61	37	42	7	1138	EAS	31911
35	160	38	32	14	8	9	2	269	EAS	5943
36	532	128	142	56	42	33	9	970	EAS	25500
37	422	82	110	43	39	45	5	782	EAS	19029
38	757	196	178	89	59	50	7	1407	EAS	32334
39	461	88	125	45	25	44	13	866	EAS	17358
40	382	71	71	32	22	22	4	619	EAS	16486
41	454	100	114	55	33	29	10	824	EAS	15855
42	772	193	178	89	55	45	15	1419	EAS	33048
43	352	61	74	35	18	32	6	594	EAS	15918
44	614	114	121	59	44	22	6	1029	EAS	23379
45	773	175	144	76	41	46	5	1294	EAS	32412
46	1000	222	235	127	55	56	14	1757	EAS	44412
47	473	102	95	44	48	43	9	858	EAS	22293
48	489	108	109	46	31	43	20	906	EAS	22182
49	276	64	59	32	27	21	7	519	EAS	13599
51	112	26	18	9	6	8	0	184	EAS	4788
52	97	19	16	6	5	9	0	157	EAS	3900
53	86	15	18	5	5	11	0	143	EAS	3243
54	95	15	14	8	8	5	1	149	EAS	5007
55	521	124	115	49	43	28	9	959	EAS	21141
56	123	24	19	7	7	4	1	191	EAS	5124
58	502	105	105	45	39	24	8	860	EAS	23547
59	344	81	80	49	28	28	7	662	EAS	15276
60	1138	267	226	105	63	72	18	1972	EAS	45183
61	1503	388	322	132	105	91	18	2682	EAS	81235
62	1310	302	254	146	94	96	20	2310	EAS	54094
63	1032	239	225	102	72	80	14	1879	EAS	44391
64	895	194	187	76	61	43	9	1514	EAS	39693
65	706	164	159	84	48	57	9	1301	EAS	26013
66	1302	304	295	142	89	77	9	2271	EAS	54678
67	805	236	213	116	61	73	16	1611	EAS	28399
68	813	173	189	75	51	60	12	1453	EAS	38463
69	265	55	57	33	19	16	4	472	EAS	10323
70	264	62	49	37	22	23	4	480	EAS	12993
71	1345	293	254	139	83	76	6	2270	EAS	55181
72	276	59	50	26	19	14	4	475	EAS	11916
73	353	85	67	41	28	17	4	612	EAS	19065
74	505	119	113	52	37	28	6	885	EAS	19599
75	459	105	102	45	42	34	8	835	EAS	19220
76	559	120	105	65	31	43	7	973	EAS	27204
77	614	134	150	67	42	57	8	1119	EAS	26076
78	733	163	163	83	53	47	5	1308	EAS	29892
79	1261	282	259	132	80	91	21	2205	EAS	51234
80	455	101	94	39	33	35	3	784	EAS	18402
81	447	97	91	36	33	29	3	760	EAS	18270
82	189	34	45	19	11	6	3	327	EAS	6609
83	194	41	63	20	15	15	1	360	EAS	7302
84	111	44	23	18	4	12	2	228	EAS	5775
85	461	110	113	57	35	38	15	896	EAS	19972
86	507	131	98	46	31	19	8	891	EAS	23553
87	295	74	65	30	19	19	3	546	EAS	14607
88	361	80	94	35	24	34	7	669	EAS	14055
89	219	48	50	30	12	18	4	414	EAS	11045
90	270	64	85	35	22	32	2	543	EAS	13677
91	160	43	35	18	6	8	0	289	EAS	7245
93	96	13	15	5	5	8	1	146	EAS	3183
94	173	41	32	16	12	7	2	298	EAS	8316
95	530	155	132	74	40	68	18	1109	EAS	19743
96	355	70	71	41	33	42	14	665	EAS	11457
97	320	118	106	64	36	48	17	782	EAS	12291
98	580	123	131	70	52	54	5	1082	EAS	21456
99	689	161	137	73	38	44	12	1213	EAS	28687
100	503	116	113	45	29	36	5	904	EAS	24246
101	308	92	67	36	25	29	4	601	EAS	13068
102	399	112	74	55	25	25	9	740	EAS	17673
103	270	61	59	24	13	17	2	460	EAS	9383
104	177	31	26	15	8	10	0	283	EAS	7602
105	1257	284	243	123	85	75	9	2191	EAS	57348
106	1001	210	194	84	58	73	16	1696	EAS	37572
0	226	57	58	30	20	31	7	470	AFR	8490
1	423	107	84	51	26	51	17	819	AFR	13239
2	351	91	94	41	29	39	13	706	AFR	11037
3	942	266	203	88	71	93	30	1853	AFR	28833
4	191	42	41	13	9	15	3	328	AFR	6117
5	572	142	141	73	44	47	20	1100	AFR	22692
6	366	111	93	37	22	37	16	721	AFR	13917
7	769	194	181	68	58	60	18	1420	AFR	27279
9	410	89	93	41	16	32	22	757	AFR	12777
10	182	51	41	23	10	23	8	363	AFR	6936
11	161	40	43	12	8	17	1	297	AFR	5820
12	252	66	53	19	16	24	8	464	AFR	8133
13	500	135	110	54	41	62	21	972	AFR	15207
14	672	169	128	55	41	67	18	1234	AFR	23175
15	630	184	178	91	56	83	38	1367	AFR	20241
16	537	143	108	49	31	36	14	973	AFR	16890
18	739	211	173	87	54	87	29	1479	AFR	25321
19	401	114	110	45	33	40	11	814	AFR	16731
20	288	60	60	25	17	30	8	525	AFR	10314
21	139	34	39	14	20	11	9	291	AFR	6921
22	143	39	37	18	11	29	2	314	AFR	8175
24	159	29	31	20	14	15	6	302	AFR	6033
25	586	151	119	54	39	46	20	1083	AFR	22178
26	591	153	134	71	51	59	34	1200	AFR	23505
27	468	132	85	48	32	53	25	927	AFR	19620
28	1236	313	266	133	113	157	45	2546	AFR	47499
29	224	70	61	30	12	26	5	487	AFR	10443
30	703	190	145	79	33	59	14	1306	AFR	27474
31	1395	364	313	133	102	112	35	2592	AFR	57595
32	724	211	163	72	37	69	28	1378	AFR	26001
33	1303	346	279	126	77	112	38	2469	AFR	58758
34	697	169	126	63	37	50	18	1218	AFR	31911
35	148	35	41	16	12	19	3	296	AFR	5943
36	610	189	145	62	31	46	25	1181	AFR	25500
37	487	158	80	57	36	55	17	969	AFR	19029
38	819	196	179	54	65	84	39	1548	AFR	32334
39	495	150	129	73	39	55	27	1100	AFR	17358
40	385	109	74	23	16	31	9	672	AFR	16486
41	482	130	110	45	44	58	16	957	AFR	15855
42	814	210	196	88	64	99	30	1631	AFR	33048
43	345	101	88	40	32	32	6	685	AFR	15918
