block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
0	EAS	15	10	12	14	17	31	2	86	Original HAPGEN2
0	EAS	13	12	18	16	14	38	6	87	Original HAPGEN2
0	EAS	14	14	24	11	9	32	7	88	Original HAPGEN2
0	EAS	15	8	8	19	19	36	4	89	Original HAPGEN2
0	EAS	17	8	18	14	16	29	6	90	Original HAPGEN2
0	EAS	11	7	22	20	20	29	5	91	Original HAPGEN2
0	EAS	8	8	23	11	16	37	4	92	Original HAPGEN2
0	EAS	17	9	20	20	21	30	6	93	Original HAPGEN2
0	EAS	17	7	18	15	25	37	2	94	Original HAPGEN2
0	EAS	13	10	16	16	16	33	7	95	Original HAPGEN2
0	EAS	18	9	22	16	16	33	5	96	Original HAPGEN2
0	EAS	12	12	16	17	23	30	6	97	Original HAPGEN2
0	EAS	22	14	15	12	16	36	10	98	Original HAPGEN2
0	EAS	15	14	19	17	16	29	7	99	Original HAPGEN2
0	EAS	15	9	16	18	17	34	4	100	Original HAPGEN2
1	EAS	29	19	23	23	29	54	12	1	Original HAPGEN2
1	EAS	27	16	14	23	31	64	11	2	Original HAPGEN2
1	EAS	15	19	22	31	28	63	9	3	Original HAPGEN2
1	EAS	21	12	27	22	34	56	10	4	Original HAPGEN2
1	EAS	24	15	26	29	27	56	10	5	Original HAPGEN2
1	EAS	18	16	27	23	38	58	12	6	Original HAPGEN2
1	EAS	35	12	23	22	37	42	16	7	Original HAPGEN2
1	EAS	26	15	26	20	34	57	8	8	Original HAPGEN2
1	EAS	16	12	23	22	24	66	10	9	Original HAPGEN2
1	EAS	21	14	27	26	32	63	8	10	Original HAPGEN2
1	EAS	21	12	24	26	22	64	12	11	Original HAPGEN2
1	EAS	28	10	28	27	31	57	7	12	Original HAPGEN2
1	EAS	24	11	23	18	39	53	11	13	Original HAPGEN2
1	EAS	32	20	22	28	29	53	9	14	Original HAPGEN2
1	EAS	22	16	24	22	36	55	11	15	Original HAPGEN2
1	EAS	23	15	26	25	25	56	9	16	Original HAPGEN2
1	EAS	29	10	40	17	28	65	13	17	Original HAPGEN2
1	EAS	21	15	29	36	30	50	11	18	Original HAPGEN2
1	EAS	19	16	28	21	25	68	9	19	Original HAPGEN2
1	EAS	17	16	24	20	26	64	10	20	Original HAPGEN2
1	EAS	20	18	27	20	37	61	12	21	Original HAPGEN2
1	EAS	28	7	21	26	28	61	10	22	Original HAPGEN2
1	EAS	22	8	23	31	35	48	11	23	Original HAPGEN2
1	EAS	21	15	19	20	27	64	10	24	Original HAPGEN2
1	EAS	31	18	27	20	31	60	6	25	Original HAPGEN2
1	EAS	19	15	23	29	29	68	11	26	Original HAPGEN2
1	EAS	29	10	26	22	34	57	11	27	Original HAPGEN2
1	EAS	20	10	30	27	28	51	16	28	Original HAPGEN2
1	EAS	22	21	24	13	33	63	9	29	Original HAPGEN2
1	EAS	26	17	22	30	28	62	6	30	Original HAPGEN2
1	EAS	32	18	28	24	22	54	8	31	Original HAPGEN2
1	EAS	25	18	26	24	29	62	6	32	Original HAPGEN2
1	EAS	20	12	25	30	29	54	10	33	Original HAPGEN2
1	EAS	23	11	21	27	22	66	6	34	Original HAPGEN2
1	EAS	28	9	24	31	23	61	8	35	Original HAPGEN2
1	EAS	24	10	27	31	29	56	7	36	Original HAPGEN2
1	EAS	20	15	29	28	35	54	9	37	Original HAPGEN2
1	EAS	23	18	13	21	37	57	11	38	Original HAPGEN2
1	EAS	19	12	33	25	36	68	12	39	Original HAPGEN2
1	EAS	23	13	24	22	27	54	7	40	Original HAPGEN2
1	EAS	30	19	22	32	27	52	7	41	Original HAPGEN2
1	EAS	23	12	31	25	25	57	9	42	Original HAPGEN2
1	EAS	28	15	20	21	46	55	6	43	Original HAPGEN2
1	EAS	23	11	27	21	29	58	8	44	Original HAPGEN2
1	EAS	17	6	32	20	31	59	9	45	Original HAPGEN2
1	EAS	30	18	20	19	44	61	8	46	Original HAPGEN2
1	EAS	26	10	21	33	25	55	14	47	Original HAPGEN2
1	EAS	25	15	22	31	28	55	10	48	Original HAPGEN2
1	EAS	15	16	21	22	25	71	10	49	Original HAPGEN2
1	EAS	38	14	22	28	36	58	7	50	Original HAPGEN2
1	EAS	15	13	22	23	34	53	13	51	Original HAPGEN2
1	EAS	31	9	24	19	38	62	9	52	Original HAPGEN2
1	EAS	26	15	31	20	28	68	6	53	Original HAPGEN2
1	EAS	22	10	25	21	41	55	10	54	Original HAPGEN2
1	EAS	20	17	29	26	28	60	9	55	Original HAPGEN2
1	EAS	26	13	16	22	29	63	5	56	Original HAPGEN2
1	EAS	23	12	20	31	27	63	8	57	Original HAPGEN2
1	EAS	25	18	26	16	26	61	12	58	Original HAPGEN2
1	EAS	18	12	23	21	30	61	9	59	Original HAPGEN2
1	EAS	24	8	25	16	32	54	14	60	Original HAPGEN2
1	EAS	22	17	29	28	29	49	10	61	Original HAPGEN2
1	EAS	18	17	21	29	30	59	12	62	Original HAPGEN2
1	EAS	28	10	28	16	31	69	8	63	Original HAPGEN2
1	EAS	19	12	32	27	29	65	10	64	Original HAPGEN2
1	EAS	30	15	21	20	31	54	10	65	Original HAPGEN2
1	EAS	26	10	28	30	27	60	8	66	Original HAPGEN2
1	EAS	20	12	27	28	24	72	5	67	Original HAPGEN2
1	EAS	20	16	24	21	33	53	8	68	Original HAPGEN2
1	EAS	26	14	28	18	31	50	6	69	Original HAPGEN2
1	EAS	24	19	18	37	25	54	9	70	Original HAPGEN2
1	EAS	24	14	22	24	30	65	7	71	Original HAPGEN2
1	EAS	21	10	28	18	23	66	6	72	Original HAPGEN2
1	EAS	14	12	25	22	34	53	10	73	Original HAPGEN2
1	EAS	22	10	25	20	26	61	10	74	Original HAPGEN2
1	EAS	18	9	21	29	22	66	5	75	Original HAPGEN2
1	EAS	24	12	29	27	28	60	8	76	Original HAPGEN2
1	EAS	28	11	22	25	27	56	11	77	Original HAPGEN2
1	EAS	20	15	28	31	33	60	11	78	Original HAPGEN2
1	EAS	22	12	34	18	29	62	10	79	Original HAPGEN2
1	EAS	20	13	21	21	28	70	9	80	Original HAPGEN2
1	EAS	24	15	25	25	24	67	10	81	Original HAPGEN2
1	EAS	22	12	31	29	29	60	6	82	Original HAPGEN2
1	EAS	28	21	24	21	31	56	8	83	Original HAPGEN2
1	EAS	25	16	29	24	35	57	10	84	Original HAPGEN2
1	EAS	18	11	29	21	31	55	13	85	Original HAPGEN2
1	EAS	30	12	28	24	30	60	9	86	Original HAPGEN2
1	EAS	21	9	30	29	29	54	12	87	Original HAPGEN2
1	EAS	26	15	20	24	35	56	11	88	Original HAPGEN2
1	EAS	23	23	22	34	23	51	7	89	Original HAPGEN2
1	EAS	29	7	23	26	24	62	8	90	Original HAPGEN2
1	EAS	24	9	25	22	26	54	12	91	Original HAPGEN2
1	EAS	17	11	32	24	29	57	11	92	Original HAPGEN2
1	EAS	26	9	26	25	38	54	7	93	Original HAPGEN2
1	EAS	23	19	31	28	32	53	13	94	Original HAPGEN2
1	EAS	17	17	33	27	31	58	6	95	Original HAPGEN2
1	EAS	21	8	21	32	26	58	10	96	Original HAPGEN2
1	EAS	16	9	19	29	36	60	9	97	Original HAPGEN2
1	EAS	17	18	23	27	27	56	12	98	Original HAPGEN2
1	EAS	23	12	29	15	27	63	7	99	Original HAPGEN2
1	EAS	26	12	20	25	18	58	13	100	Original HAPGEN2
10	EAS	6	5	10	6	21	31	4	1	Original HAPGEN2
10	EAS	14	6	12	10	15	34	4	2	Original HAPGEN2
10	EAS	15	10	9	13	16	24	3	3	Original HAPGEN2
10	EAS	16	8	14	17	13	29	3	4	Original HAPGEN2
10	EAS	12	2	13	10	14	28	4	5	Original HAPGEN2
10	EAS	10	9	13	10	13	25	2	6	Original HAPGEN2
10	EAS	13	4	12	9	13	33	1	7	Original HAPGEN2
10	EAS	11	8	17	12	16	23	1	8	Original HAPGEN2
10	EAS	14	5	11	12	18	30	5	9	Original HAPGEN2
10	EAS	10	3	11	9	11	31	1	10	Original HAPGEN2
10	EAS	14	5	12	13	21	23	1	11	Original HAPGEN2
10	EAS	16	5	13	8	20	25	2	12	Original HAPGEN2
10	EAS	12	6	10	12	21	25	3	13	Original HAPGEN2
10	EAS	16	4	13	7	14	28	3	14	Original HAPGEN2
10	EAS	8	10	15	9	9	28	2	15	Original HAPGEN2
