pop	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	block
AFR	8128	191.636563878345	47.7235278805668	48.5397935364795	26.182173658931	19.1101154128289	23.9203409046116	7.10848472823778	0
EAS	9197	196.015354106467	43.1999915104448	40.4901431575616	19.9825482816903	13.5129880488723	15.966001821328	3.74981922748206	0
NFE	56885	556.925130136087	185.64703414294	188.485420128658	89.4835271846569	54.3660195519601	67.448465422563	1.86980976332896	0
SAS	15308	320.853654653152	88.3792016783797	86.4305087991807	42.2454587936289	27.4975706090501	34.9601399760889	4.40146851624156	0
AFR	8128	363.198946801767	81.6703389574455	80.8194158853821	43.0417511651105	31.3316253066229	39.3089889250967	11.7484933981349	1
EAS	9197	324.524240163173	81.4536392362725	78.9740014532007	39.4301709885926	26.5828674759347	30.9447534355443	7.10165192260563	1
NFE	56885	1095.67518362917	355.507788185793	346.38729100614	154.495556939845	87.9630008661104	94.8409236324289	1.94250218600533	1
SAS	15308	569.050831069808	124.100357590665	117.503808747603	59.0706056961015	40.7307840636262	59.1122707142558	9.02111918800219	1
AFR	8128	163.961288628255	40.8081121497433	40.5177305932461	21.0624977616031	14.8115325946108	17.5102815832968	4.86931701982309	10
EAS	9197	163.602129546158	30.4685569090474	28.9539104383522	15.1956474760048	11.0711035467982	14.855841754587	4.07553458154418	10
NFE	56885	577.679178920155	181.57332231943	165.054895330942	65.474972045019	32.792203432083	27.1074679103721	0.290841658946259	10
SAS	15308	280.219864726541	67.4736031953096	59.5517610039009	25.858844223424	15.164187636437	16.1772516677592	1.59495528856373	10
AFR	8128	461.237628831809	105.189395742382	103.305420920893	54.1941421812547	38.8146621666852	47.4675492053846	13.7695786851892	100
EAS	9197	458.036325965713	107.534132116732	98.1526119626777	45.51507873772	28.6836079164811	30.1664444653481	6.12090945479875	100
NFE	56885	1625.61652319232	424.800917312368	372.852357608665	154.464354674732	84.9274661416165	89.1907830808735	1.79799685387978	100
SAS	15308	716.519005226817	169.257845850563	156.240591476012	73.6254723079068	47.1347334970815	59.1606130430808	7.38735906762166	100
AFR	8128	319.097500709376	76.3255780396234	73.9670119176075	37.4944014175191	25.81843747984	29.6416675967054	7.97504529742818	101
EAS	9197	282.489005012928	74.4106411669266	71.1470133620318	34.0994537716019	21.8882381415755	23.4493530655519	4.84277800850184	101
NFE	56885	1063.01746931819	286.15657033181	264.732662378244	118.778499001443	70.8229651295083	88.3666658268356	2.57336129127962	101
SAS	15308	541.199421141978	137.046183708997	124.304699646115	55.3760899980062	33.1038416682722	36.3401123904323	3.72465144619558	101
AFR	8128	364.668491110747	86.8390391885828	88.3052694095359	48.2237436573411	35.7947206810446	46.108268305	14.1798655835288	102
EAS	9197	364.256009535534	91.7337555778038	85.0498109529196	39.414150128064	24.5838408389188	25.2707783716058	4.96435729785807	102
NFE	56885	1278.80191652514	335.20004448909	308.519835888388	138.858393886764	83.4518482597351	106.517919333536	3.26153901318196	102
SAS	15308	578.009864490037	135.501286366281	128.414210860243	63.2638923952698	42.4199153780526	58.0614867994535	8.16942976918281	102
AFR	8128	221.691322390928	57.8460801142093	55.23502995598	26.513874965337	17.0702956368535	17.555792617364	4.12379944127919	103
EAS	9197	252.863173347831	58.67004169575	52.3001638241572	23.4309876854341	14.2723605336946	14.2407533880406	2.70431952509136	103
NFE	56885	785.365962158873	178.092365144366	159.547145475408	72.6607081779992	45.1492645961023	63.612952671779	2.4034421116076	103
SAS	15308	325.865914018143	81.1925960244209	76.2370899722279	36.2304288215622	23.2342270593122	29.0845837936821	3.60679213592261	103
AFR	8128	138.41715550592	35.6772898959851	37.0304712347701	20.3897126338876	15.1384566297322	19.4078160762612	5.92176469011056	104
EAS	9197	166.217466601097	28.7204887498309	25.2352061221424	12.0393143055241	8.04837316221744	9.47500786512954	2.23149301737998	104
NFE	56885	615.948925680074	151.471287297707	129.927651444249	53.1873698906131	29.1911975028307	30.8855559842874	0.639426834386495	104
SAS	15308	224.500976565494	60.1242744242733	55.2662082840941	24.5757164291722	14.5260340590261	15.4998741740811	1.51573725591274	104
AFR	8128	1102.26505810404	257.286225844389	249.856019790782	128.013575210171	89.3395097616905	104.867017227078	28.9825122774712	105
EAS	9197	1151.87306501993	255.93247806597	231.260458335734	107.524253594453	68.4100514994281	73.3677987376829	15.2923420311531	105
NFE	56885	4030.55734348838	1004.61442799931	885.396971902412	377.865187651923	216.359166800092	250.218401400461	6.28207125633752	105
SAS	15308	1756.70497508103	412.850479889614	380.443273114543	179.099930053771	114.61729454485	143.840954705499	17.963164060527	105
AFR	8128	1001.72603738749	219.830437515385	207.443353705348	103.569486843685	70.8830036221142	81.0961716751703	21.7913582694286	106
EAS	9197	931.042357083168	194.572721686377	177.27085303997	85.0672085989386	56.2432225264973	64.3642948510385	14.5674601385373	106
NFE	56885	3029.26436943169	832.791241834956	758.743265595328	327.868128874759	186.939476792946	210.276780066762	4.89696215623816	106
SAS	15308	1441.42326204656	344.314473848598	320.143677066837	152.040340872042	97.9778137266136	124.33339296045	15.755061792025	106
