block	pop	downsample	exp_all	obs_all	exp_syn	obs_syn	exp_mis	obs_mis	exp_lof	obs_lof
0	nfe	5000	262.139931	261	81.44878	94	171.4992	163	9.191951	NA
0	nfe	5040	263.607721	263	81.89867	95	172.463	164	9.246051	NA
0	nfe	8128	370.51026	369	114.75403	139	242.5781	226	13.17813	NA
0	nfe	9197	403.15299	392	124.7468	148	264.0075	240	14.39869	NA
0	nfe	10000	426.83536	405	132.0061	150	279.5422	251	15.28706	NA
0	nfe	10824	450.28687	422	139.1605	156	294.9496	262	16.17677	NA
0	nfe	15000	556.20096	522	171.3498	187	364.5856	327	20.26556	NA
0	nfe	15308	563.11945	526	173.4375	188	369.1426	330	20.53935	NA
0	nfe	17296	608.41645	560	187.1193	199	398.9699	353	22.32725	NA
0	nfe	20000	666.37689	623	204.5743	226	437.1583	387	24.64429	NA
0	nfe	25000	761.43632	707	233.0874	262	499.827	433	28.52192	NA
0	nfe	30000	846.20057	784	258.3478	287	555.7981	483	32.05467	NA
0	nfe	35000	924.09942	876	281.4898	316	607.2614	544	35.34822	NA
0	nfe	40000	994.11334	940	302.1819	338	653.5642	583	38.36724	NA
0	nfe	45000	1060.05745	1011	321.5721	360	697.2314	630	41.25395	NA
0	nfe	50000	1121.77457	1080	339.6421	378	738.144	680	43.98847	NA
0	nfe	55000	1179.75842	1138	356.5359	392	776.6395	724	46.58302	NA
0	nfe	56885	1200.13417	1155	362.465	397	790.1622	734	47.50697	NA
0	sas	10	1.93340571	6	0.6100777	1	1.259032	4	0.06429601	NA
0	sas	20	3.86508215	6	1.2122509	1	2.520995	4	0.13183625	NA
0	sas	50	9.452951	13	2.962761	3	6.166977	9	0.323213	NA
0	sas	100	17.7202473	22	5.539889	7	11.57082	14	0.6095383	NA
0	sas	200	32.2102297	35	10.066573	10	21.03573	24	1.1079267	NA
0	sas	500	65.363078	62	20.41223	21	42.69848	40	2.252368	NA
0	sas	1000	107.897016	109	33.71119	43	70.46968	65	3.716146	NA
0	sas	2000	173.545288	167	54.13589	62	113.3964	103	6.012998	NA
0	sas	3070	230.454891	227	71.80822	85	150.6219	140	8.024771	NA
0	sas	5000	314.114122	312	97.66206	108	205.4091	201	11.042962	NA
0	sas	5040	315.733734	313	98.15722	108	206.474	202	11.102514	NA
0	sas	8128	422.87024	434	131.0827	151	276.718	279	15.06954	NA
0	sas	9197	455.05763	466	140.932	158	297.8481	303	16.27753	NA
0	sas	10000	477.99886	482	147.9437	163	312.9059	313	17.14926	NA
0	sas	10824	500.77479	501	154.8766	168	327.8747	326	18.02349	NA
0	sas	15000	603.35406	604	186.0502	195	395.2991	399	22.00476	NA
0	sas	15308	610.33786	611	188.1619	196	399.8964	404	22.27956	NA
1	afr	10	7.6196618	6	2.463246	3	4.93996	3	0.2164558	NA
1	afr	20	14.696863	11	4.73799	8	9.53376	3	0.425113	NA
1	afr	50	31.894802	19	10.26874	8	20.69769	11	0.928372	NA
1	afr	100	53.096865	46	17.09193	24	34.4631	22	1.541835	NA
1	afr	200	85.847807	74	27.6239	42	55.7454	32	2.478507	NA
1	afr	500	152.63734	135	49.1473	67	99.0932	68	4.39684	NA
1	afr	1000	230.67643	201	74.2255	103	149.7843	98	6.66663	NA
1	afr	2000	347.00747	293	111.5578	143	225.3598	149	10.08987	NA
1	afr	3070	445.65797	394	143.1006	187	289.493	205	13.06437	NA
1	afr	5000	588.37801	518	188.5897	237	382.317	277	17.47131	NA
1	afr	5040	591.00977	520	189.4193	239	384.035	277	17.55547	NA
1	afr	8128	769.11604	705	245.7484	315	500.072	385	23.29564	NA
1	eas	10	3.9049254	1	1.256025	1	2.541417	0	0.1074834	NA
1	eas	20	7.5170499	4	2.41943	4	4.88662	0	0.2109999	NA
1	eas	50	17.673608	16	5.71129	9	11.46999	7	0.492328	NA
1	eas	100	32.057764	32	10.35636	16	20.79997	16	0.901434	NA
1	eas	200	55.796995	55	18.02788	26	36.1953	29	1.573815	NA
1	eas	500	108.878792	95	35.1967	42	70.6186	53	3.063492	NA
1	eas	1000	173.81094	148	56.1381	69	112.7665	78	4.90634	NA
1	eas	2000	272.34299	243	87.8367	109	176.7538	131	7.75249	NA
1	eas	3070	354.27635	327	114.146	140	229.9724	183	10.15795	NA
1	eas	5000	473.1832	437	152.0444	197	307.353	236	13.7858	NA
1	eas	5040	475.30621	444	152.7306	200	308.727	240	13.84861	NA
1	eas	8128	624.17872	574	199.9905	246	405.671	323	18.51722	NA
1	eas	9197	669.01309	630	214.2017	271	434.86	353	19.95139	NA
1	global	10	2.185412	0	0.706111	0	1.420266	0	0.059035	NA
1	global	20	4.3531556	3	1.403575	2	2.8297	1	0.1198806	NA
1	global	50	12.3482099	5	3.98583	2	8.01862	3	0.3437599	NA
1	global	100	24.79433	13	8.00174	6	16.09723	7	0.69536	NA
1	global	200	48.557385	29	15.6949	15	31.4987	14	1.363785	NA
1	global	500	112.257561	103	36.206	52	72.8488	50	3.202761	NA
1	global	1000	202.94336	179	65.4227	93	131.6948	84	5.82586	NA
1	global	2000	341.46808	319	109.7264	152	221.7995	162	9.94218	NA
1	global	3070	465.16436	454	149.217	216	302.24	231	13.70736	NA
1	global	5000	647.39067	610	207.1335	286	420.838	316	19.41917	NA
1	global	5040	650.95651	615	208.2584	288	423.163	319	19.53511	NA
1	global	8128	882.60881	833	281.262	384	574.21	438	27.13681	NA
1	global	9197	954.38125	900	303.677	412	621.121	476	29.58325	NA
1	global	10000	1003.38519	944	318.994	427	653.113	504	31.27819	NA
1	global	10824	1051.17706	987	333.879	442	684.343	532	32.95506	NA
1	global	15000	1273.8509	1200	402.834	522	830.08	661	40.9369	NA
1	global	15308	1288.7071	1219	407.403	531	839.83	671	41.4741	NA
1	global	17296	1382.0785	1306	436.119	559	901.006	727	44.9535	NA
1	global	20000	1499.1405	1413	471.868	601	977.848	790	49.4245	NA
1	global	25000	1691.3949	1648	530.328	708	1104.098	913	56.9689	NA
1	global	30000	1860.6575	1838	581.245	767	1215.535	1039	63.8775	NA
1	global	35000	2014.8044	1981	627.338	825	1317.124	1121	70.3424	NA
1	global	40000	2156.2783	2134	669.373	882	1410.47	1211	76.4353	NA
1	global	45000	2286.5558	2284	707.793	943	1496.591	1298	82.1718	NA
1	global	50000	2408.0863	2425	743.465	996	1576.994	1385	87.6273	NA
1	global	55000	2521.5529	2549	776.662	1044	1652.088	1459	92.8029	NA
1	global	56885	2561.6233	2589	788.306	1059	1678.663	1483	94.6543	NA
1	global	60000	2628.1252	2639	807.59	1082	1722.785	1510	97.7502	NA
1	global	65000	2731.3681	2749	837.513	1138	1791.275	1561	102.5801	NA
1	global	70000	2830.1843	2868	866.029	1176	1856.89	1638	107.2653	NA
1	global	75000	2922.4158	2976	892.53	1215	1918.195	1706	111.6908	NA
1	global	80000	3011.3839	3066	918.009	1243	1977.364	1768	116.0109	NA
1	global	85000	3096.3024	3155	942.217	1271	2033.912	1828	120.1734	NA
1	global	90000	3178.8972	3232	965.812	1294	2088.856	1880	124.2292	NA
1	global	95000	3258.1395	3319	988.342	1323	2141.635	1934	128.1625	NA
1	global	100000	3334.8914	3378	1010.012	1346	2192.87	1969	132.0094	NA
1	global	110000	3481.0108	3536	1051.331	1415	2290.311	2056	139.3688	NA
1	global	120000	3618.8733	3697	1090.109	1467	2382.381	2160	146.3833	NA
1	global	125748	3694.3786	3786	1111.272	1494	2432.845	2221	150.2616	71
1	nfe	10	1.52508889	2	0.494756	1	0.98841	1	0.04192289	NA
1	nfe	20	3.0055254	2	0.967139	1	1.952529	1	0.0858574	NA
1	nfe	50	7.9656665	8	2.575198	4	5.16756	4	0.2229085	NA
1	nfe	100	15.776236	16	5.10282	8	10.23556	8	0.437856	NA
1	nfe	200	30.494116	38	9.86688	18	19.77883	20	0.848406	NA
1	nfe	500	70.702243	77	22.87825	40	45.8453	36	1.978693	NA
1	nfe	1000	128.683393	131	41.5484	58	83.5191	72	3.615893	NA
1	nfe	2000	226.48768	224	73.0028	100	147.04	122	6.44488	NA
1	nfe	3070	315.81839	316	101.6171	140	205.1315	173	9.06979	NA
1	nfe	5000	455.59914	449	146.3035	189	296.005	255	13.29064	NA
1	nfe	5040	458.15116	450	147.1125	190	297.668	255	13.37066	NA
1	nfe	8128	643.26262	615	205.8288	253	418.25	353	19.18382	NA
1	nfe	9197	699.66392	673	223.6316	273	455.032	390	21.00032	NA
1	nfe	10000	740.61323	714	236.5692	296	481.715	408	22.32903	NA
1	nfe	10824	781.06161	772	249.2869	317	508.113	445	23.66171	NA
1	nfe	15000	963.60312	960	306.422	397	627.344	549	29.83712	NA
1	nfe	15308	975.55233	971	310.136	403	635.162	554	30.25433	NA
1	nfe	17296	1053.52635	1065	334.374	435	686.174	615	32.97835	NA
1	nfe	20000	1153.07331	1157	365.21	460	751.337	681	36.52631	NA
1	nfe	25000	1316.0448	1341	415.413	524	858.111	800	42.5208	NA
1	nfe	30000	1461.0329	1479	459.751	586	953.261	870	48.0209	NA
1	nfe	35000	1593.8947	1638	500.192	637	1040.525	975	53.1777	NA
1	nfe	40000	1713.1792	1777	536.278	687	1118.96	1062	57.9412	NA
1	nfe	45000	1825.3656	1886	570.028	728	1192.819	1124	62.5186	NA
1	nfe	50000	1930.1921	1995	601.416	776	1261.907	1182	66.8691	NA
1	nfe	55000	2028.4196	2116	630.644	825	1326.774	1251	71.0016	NA
1	nfe	56885	2062.9427	2155	640.899	834	1349.563	1281	72.4807	NA
1	sas	10	3.3924496	1	1.109158	0	2.191769	1	0.0915226	NA
1	sas	20	6.7651365	3	2.197041	0	4.37837	3	0.1897255	NA
1	sas	50	16.475298	14	5.33902	8	10.67187	5	0.464408	NA
1	sas	100	30.858101	26	9.9741	16	20.00766	9	0.876341	NA
1	sas	200	56.075085	49	18.1181	25	36.3654	23	1.591585	NA
1	sas	500	113.821475	95	36.7538	45	73.8304	47	3.237275	NA
1	sas	1000	187.84186	157	60.6755	78	121.8241	76	5.34226	NA
1	sas	2000	302.02473	279	97.3967	125	195.9623	149	8.66573	NA
1	sas	3070	400.999	372	129.1605	166	260.245	200	11.5935	NA
1	sas	5000	546.23216	503	175.5195	219	354.686	273	16.02666	NA
1	sas	5040	549.03112	505	176.399	220	356.519	274	16.11312	NA
1	sas	8128	734.46757	680	235.1855	288	477.273	380	22.00907	NA
1	sas	9197	790.15212	732	252.762	305	513.577	414	23.81312	NA
1	sas	10000	829.81335	770	265.2581	312	539.43	445	25.12525	NA
1	sas	10824	869.0879	809	277.576	328	565.069	467	26.4429	NA
1	sas	15000	1045.96167	1013	332.93	425	680.55	572	32.48167	NA
