block	pop	downsample	exp_all	obs_all	N_bp	per_kb
6	sas	200	57.568913	55	13917	3.95200114967306
6	sas	500	116.876295	95	13917	6.82618380398074
6	sas	1000	192.875249	169	13917	12.14342171445
6	sas	2000	310.26989	277	13917	19.9037148810807
6	sas	3070	412.14929	375	13917	26.9454623841345
6	sas	5000	561.91654	543	13917	39.0170295322268
6	sas	5040	564.79986	545	13917	39.1607386649422
6	sas	8128	756.45175	707	13917	50.8011784148883
6	sas	9197	814.07279	760	13917	54.6094704318459
6	sas	10000	855.19083	794	13917	57.0525256880075
6	sas	10824	895.91415	824	13917	59.2081626787382
6	sas	15000	1079.5575	965	13917	69.3396565351728
6	sas	15308	1092.06392	981	13917	70.4893295968959
7	sas	10	7.2665571	6	27279	0.219949411635324
7	sas	20	14.5418614	12	27279	0.439898823270648
7	sas	50	35.3102311	27	27279	0.989772352358957
7	sas	100	66.138086	49	27279	1.79625352835515
7	sas	200	120.133375	89	27279	3.2625829392573
7	sas	500	243.9476	196	27279	7.18501411342058
7	sas	1000	402.548152	305	27279	11.180761758129
7	sas	2000	647.89261	521	27279	19.0989405770006
7	sas	3070	861.09889	719	27279	26.3572711609663
7	sas	5000	1175.10839	988	27279	36.2183364492833
7	sas	5040	1181.11287	994	27279	36.4382858609187
7	sas	8128	1583.83094	1346	27279	49.3419846768577
7	sas	9197	1705.07808	1449	27279	53.1177829099307
7	sas	10000	1791.74536	1525	27279	55.9038087906448
7	sas	10824	1877.57311	1620	27279	59.3863411415374
7	sas	15000	2265.35749	1970	27279	72.2167234869313
7	sas	15308	2291.79966	1987	27279	72.8399134865648
9	sas	10	3.09412267390272	1	12777	0.0782656335603037
9	sas	20	6.22225305574428	4	12777	0.313062534241215
9	sas	50	15.232954597656	14.3312101910828	12777	1.12164124529098
9	sas	100	28.5808113259474	24.1082802547771	12777	1.88684982818949
9	sas	200	51.9431256568016	45.1082802547771	12777	3.53042813295587
9	sas	500	105.429345112248	100.311544317914	12777	7.85094656945402
9	sas	1000	174.055043668339	163.177228763216	12777	12.7711691917677
9	sas	2000	280.329092370842	285.608398207124	12777	22.3533222358241
9	sas	3070	372.707239151172	369.855969461065	12777	28.9470117759306
